Speaker,gloss1,total_freq
Anais,bre@o,1
Anais,bref,1
Anais,bricolage,1
Anais,brille,1
Anais,brillent,1
Anais,brosse,17
Anais,brosse+à+dents,1
Anais,Bruce,5
Anais,bruit,16
Anais,brûle,1
Anais,brûler,1
Anais,brun,1
Anais,brusque,1
Anais,brute,2
Anais,bu,5
Anais,bûche,1
Anais,bulles,1
Anais,bye,1
Anais,bzz@o,2
Anais,bzzz@o,1
Anais,c'est,1836
Anais,c'était,36
Anais,c'tait,1
Anais,c@l,9
Anais,ça,1764
Anais,cabri,1
Anais,caca,3
Anais,cache,4
Anais,caché,20
Anais,cachée,8
Anais,cachées,4
Anais,cacher,6
Anais,caches,5
Anais,cachés,2
Anais,cadeau,4
Anais,cadeaux,5
Anais,café,11
Anais,cafetière,1
Anais,cahier,1
Anais,caille,1
Anais,caillou,4
Anais,cailloux,5
Anais,caisse,3
Anais,caisse+enregistreuse,1
Anais,calamité,3
Anais,calîn,7
Anais,câlin,16
Anais,Caline,7
Anais,calîns,3
Anais,caméra,5
Anais,camion,15
Anais,Can,3
Anais,canaille,3
Anais,Canaille,1
Anais,canard,27
Anais,canards,6
Anais,caneton,2
Anais,canetons,2
Anais,Cannelle,2
Anais,capuchon,1
Anais,Capucine,1
Anais,carosse,1
Anais,carotte,5
Anais,carottes,2
Anais,carré,7
Anais,carrés,2
Anais,carrosse,1
Anais,carte,1
Anais,cartes,7
Anais,carton,5
Anais,cartonnés,1
Anais,cas,1
Anais,casque,1
Anais,casquette,1
Anais,casse,2
Anais,cassé,52
Anais,cassée,1
Anais,cassées,1
Anais,casser,2
Anais,casserole,8
Anais,casses,6
Anais,cassés,1
Anais,cassette,2
Anais,castor,1
Anais,ce,457
Anais,ceinture,6
Anais,celle,6
Anais,celle-là,55
Anais,celles-ci,1
Anais,celles-là,4
Anais,celui,33
Anais,celui-là,267
Anais,Cendrillon,1
Anais,censé,1
Anais,censée,1
Anais,cerises,2
Anais,ces,18
Anais,cet,4
Anais,cette,39
Anais,ceux,2
Anais,ceux-là,15
Anais,ch@o,3
Anais,chaise,30
Anais,chaise+haute,1
Anais,chaise+longue,1
Anais,chaises,1
Anais,châle,1
Anais,Chambord,1
Anais,chambre,10
Anais,chameau,5
Anais,chameaux,1
Anais,champignons,1
Anais,change,6
Anais,changé,1
