language,uni_lemma,lexical_category,frequency,MLU,final_frequency,solo_frequency,num_phons,concreteness,valence,arousal,babiness,measure,age,num_true,num_false,unscaled_age,total,prop
French (Quebec),again,function_words,1.5708140059837077,-0.9088336337467294,0.432438392032347,2.5358875590545424,-0.28736580563360836,-2.2389449083166966,0.17136120769683727,1.8802280548815242,-0.6797946826040646,understands,-0.38724399602564846,31,27,11,58,0.5344827586206896
French (Quebec),all gone,predicates,0.7562608248376138,0.28241068879443737,0.5843145514340338,0.25885061694970496,0.28233061004052884,-2.1970148207701596,0.47267286837798234,-1.622640915004941,-0.8270863940744126,understands,1.1617319880769454,35,27,15,62,0.5645161290322581
French (Quebec),apple,nouns,0.24665417171722082,-0.174208592790681,0.657038707697425,0.836516094881769,-0.8570622213077455,0.9058116576735797,0.5822407449893079,-0.47909262586674795,-0.287016785349804,understands,1.1617319880769454,39,23,15,62,0.6290322580645161
French (Quebec),arm,nouns,0.2398518414476159,0.6500956665098879,0.6795106882782636,-0.671592846685301,-0.8570622213077455,0.8638815701270426,-0.49517670835539224,-0.5753914291625958,0.10576111190445663,understands,1.5489759841025939,24,24,16,48,0.5
French (Quebec),baa baa,other,0.6688880445371745,-0.6251499033002994,0.3411385402469309,0.359412803861911,-0.28736580563360836,-0.2472657498561884,0.2900597406924397,-0.7198396341063676,0.7869852774548152,understands,1.1617319880769454,34,28,15,62,0.5483870967741935
French (Quebec),baby,other,1.052773641187869,0.09314589022866827,1.1347498627649946,0.5581082999196825,-0.28736580563360836,0.9058116576735797,0.6278940269106933,1.2663231838704934,2.9043036298410643,understands,-0.7744879920512969,30,25,10,55,0.5454545454545454
French (Quebec),ball,nouns,0.6037631769761843,-0.4207754829038519,1.1807653842060353,0.7258594916783503,-0.5722140134706769,0.9058116576735797,0.14396923854400567,-0.5272420275146719,0.9404141435697607,understands,-0.7744879920512969,29,26,10,55,0.5272727272727272
French (Quebec),banana,nouns,-0.08800152926319733,-1.1437946797237784,0.846481043517637,0.6462462134746146,0.28233061004052884,0.9058116576735797,0.6644166524478018,-0.8522504886381582,-0.4915886070000556,understands,0.38724399602564846,45,25,13,70,0.6428571428571429
French (Quebec),bath,other,0.4363779253622414,1.0463608382035083,1.02056875363049,-0.6289521653094449,-1.4267586369818828,0.7485738293740655,0.9292056875918383,-0.8041010869902342,1.758701429679795,understands,-0.7744879920512969,39,16,10,55,0.7090909090909091
French (Quebec),bathroom,nouns,-0.2890455281061032,0.8365746633387634,0.6562491474993111,-0.8570628236097617,1.1368752335517345,0.402650607115135,-0.659528523272381,-1.2735577530574924,-1.0681091947068884,understands,1.1617319880769454,42,20,15,62,0.6774193548387096
French (Quebec),bathtub,nouns,0.4363779253622414,1.0463608382035083,1.02056875363049,-0.6289521653094449,-1.4267586369818828,0.8219514825805055,0.25353711515533117,-0.3466817713349573,1.758701429679795,understands,-0.7744879920512969,35,20,10,55,0.6363636363636364
French (Quebec),beautiful,predicates,0.9815044012547397,-0.33304179899993075,0.19184288028838734,-0.04888621375585051,-1.141910429144814,-2.0712245581305484,1.4861757270327431,2.1570871143570862,-1.4162532399558034,understands,1.5489759841025939,34,14,16,48,0.7083333333333334
French (Quebec),bed,nouns,0.6198685488510813,0.8025145439372584,0.9297251621903869,-0.3893569023219631,-1.4267586369818828,0.9058116576735797,1.0752961897402726,-1.1050348472897589,0.05666387474767422,understands,0.7744879920512969,32,21,14,53,0.6037735849056604
French (Quebec),bedroom,nouns,0.3653510248497987,1.562811392311555,0.7997579044757054,-0.9728122913132524,-0.28736580563360836,0.8009864388072375,0.9292056875918383,1.1820617309866275,0.2530528233748043,understands,1.1617319880769454,41,21,15,62,0.6612903225806451
French (Quebec),belly button,nouns,-1.1854805145457084,-1.064901266348661,-0.07717598718464797,0.25481131056134254,0.852027025714666,0.9058116576735797,-0.23038767321135561,1.242248483046532,-0.4097598782417605,understands,1.5489759841025939,32,16,16,48,0.6666666666666666
French (Quebec),below,function_words,-0.36969056169384834,0.17389318195467146,0.04035909814119894,0.7337675512490346,-0.8570622213077455,-0.7189792347547296,0.6005020577578617,-0.1420468143312808,-1.309875892619117,understands,1.1617319880769454,41,21,15,62,0.6612903225806451
French (Quebec),bib,nouns,-1.1458827529159563,0.8153111424735117,0.017164963130738783,-0.8293861305953202,0.28233061004052884,0.6856786980542604,-0.18473439128997018,-0.41890587380684324,2.781560536949108,understands,0.7744879920512969,29,24,14,53,0.5471698113207547
French (Quebec),bird,nouns,0.23899585337234214,-0.5983492101491776,0.7873654970613283,0.8147008171362249,-0.28736580563360836,0.9058116576735797,0.7009392779849103,-0.10593476309533756,-0.8393607033636081,understands,0.7744879920512969,30,23,14,53,0.5660377358490566
French (Quebec),blanket,nouns,-0.6048823903951573,-0.09906173619075807,0.16646020927640176,-0.34220268955750144,1.4217234413888031,0.9058116576735797,0.9748589695132238,-2.031910829012294,2.372416894139577,understands,1.5489759841025939,24,24,16,48,0.5
French (Quebec),block,nouns,-0.9131701500916897,-0.23211414485336584,-0.3972193102964593,-0.9806392203000329,-0.28736580563360836,0.3607205195685989,-1.3717197212459957,0.39963395420786335,0.19103526088301348,understands,1.1617319880769454,33,29,15,62,0.532258064516129
French (Quebec),blow,predicates,0.08687053111468258,-1.6961074710011999,-0.05089690836018083,1.6759703483438992,0.28233061004052884,-0.41498610004233616,0.10744661300689712,0.6764930136834264,-0.7779891569176299,understands,1.1617319880769454,35,27,15,62,0.5645161290322581
