language,uni_lemma,lexical_category,frequency,MLU,final_frequency,solo_frequency,num_phons,concreteness,valence,arousal,babiness,measure,age,num_true,num_false,unscaled_age,total,prop
English (American),airplane,nouns,-0.2499007416124136,-0.05329338648820277,0.5090479007183686,0.4144706995931662,0.84500300148427,0.8242510424243695,-0.6909394463752841,1.9657175795624946,0.6082984645082836,understands,0.9485735665947017,57,31,16,88,0.6477272727272727
English (American),all gone,predicates,-0.5991407249369856,-2.8180833547828694,0.3125378422803157,1.7433016880828558,0.84500300148427,-2.165248092356002,0.455724527922403,-1.6140566178586297,-0.3034695401981513,understands,-0.9485735665947017,83,72,10,155,0.535483870967742
English (American),animal,nouns,0.36454437747789004,0.7986025741942794,0.4499396149449041,-0.3514608367022607,0.84500300148427,0.4659206666801473,0.9694299884077664,0.41643825477695845,0.4614025081443221,understands,1.580955944324503,45,39,18,84,0.5357142857142857
English (American),apple,nouns,0.20556321342656622,-0.4886138519697984,0.15670948525847056,1.2614290023305217,-0.5661280732323791,0.8652030853665663,0.565804269454981,-0.4990449825963124,-0.23508694002068403,understands,0.6323823777298012,69,52,15,121,0.5702479338842975
English (American),arm,nouns,-0.22450633047874374,0.30815183402761637,0.4699986475180294,-1.4638231954298921,-1.2716936105907035,0.8242510424243695,-0.5166465222820354,-0.5929406992499814,0.1660909820902651,understands,1.2647647554596024,46,32,17,78,0.5897435897435898
English (American),asleep,predicates,-0.8376228926167109,0.20010281207250888,0.40447937091214325,-0.8738152989385154,0.84500300148427,-0.45550029951928267,0.455724527922403,-2.2830635990160206,1.6155850218594816,understands,1.580955944324503,48,36,18,84,0.5714285714285714
English (American),baa baa,other,-0.9949568985543481,-2.5858420848400527,-1.020291120351536,1.6698501855644174,0.13943746412594538,-0.2609780955438476,0.2722582920347728,-0.7337842742304848,0.8618839407514427,understands,0.3161911888649006,81,49,14,130,0.6230769230769231
English (American),baby,other,1.3601808764067715,-0.5091473279434229,0.984916282441709,1.1449659318192043,0.13943746412594538,0.8652030853665663,0.6116708284268882,1.202814881751435,3.024483677130778,understands,-0.6323823777298012,47,47,11,94,0.5
English (American),back (location),function_words,1.4049245931784542,0.8902152451282929,0.7752779541426498,-0.7506790285497803,-0.5661280732323791,0.17925636608476894,-1.1404317242999777,-1.5905826886952126,-0.23508694002068403,understands,1.580955944324503,43,41,18,84,0.5119047619047619
English (American),ball,nouns,0.7966486836765273,-0.9255792342948381,1.3111394651332484,1.2908588769485978,-0.5661280732323791,0.8652030853665663,0.12548530332466873,-0.5459928409231468,1.018594066576032,understands,-0.6323823777298012,67,27,11,94,0.7127659574468085
English (American),balloon,nouns,-0.3453273607027475,-0.16638326702159636,0.5353544003015285,0.9056829591882153,0.84500300148427,0.7832989994821725,0.7676171289313736,-0.05304032849138557,1.2921244677873738,understands,0,492,278,13,770,0.638961038961039
English (American),banana,nouns,-0.30327801471313875,-0.8982802103303712,0.3965506758846167,1.0268805554951723,1.5505685388425947,0.8652030853665663,0.6483640756044142,-0.8628908846292792,-0.4440337746206275,understands,-0.6323823777298012,49,45,11,94,0.5212765957446809
English (American),bath,other,-0.13639661253690338,0.7753731215583332,0.4881240388188701,-0.524174571508615,-0.5661280732323791,0.7116329243333277,0.9143901176414777,-0.8159430263024448,1.8543814044743339,understands,-1.2647647554596024,49,45,9,94,0.5212765957446809
English (American),bathroom,nouns,-1.3458621755146394,1.3169074819760747,0.04572058040628454,-2.3952855821317653,1.5505685388425947,0.37377857006020354,-0.6817661345809028,-1.2736846449890804,-0.9872955439787138,understands,0.6323823777298012,77,44,15,121,0.6363636363636364
English (American),bathtub,nouns,-1.7610754481631206,0.8799629926998017,-0.045242479855496356,-1.558639175793718,1.5505685388425947,0.7832989994821725,0.23556504485724677,-0.3699383721975179,1.8543814044743339,understands,-0.3161911888649006,73,70,12,143,0.5104895104895105
English (American),bear,nouns,0.5666727133923795,0.05535432839441302,0.854345107781385,0.48775578470531167,-1.2716936105907035,0.7423469565399757,-0.6175529520202321,0.6511775464111308,0.4168271834096083,understands,0.9485735665947017,44,44,16,88,0.5
English (American),bed,nouns,0.5986678985013836,0.9474732809001548,1.2051778422707145,-0.33068669235698944,-0.5661280732323791,0.8652030853665663,1.0611631063515818,-1.1093671408451597,0.11594374182639662,understands,0.3161911888649006,78,52,14,130,0.6
English (American),bedroom,nouns,-1.9939464764419923,1.0681392815234223,-0.4224809961467661,-0.6484907636846139,1.5505685388425947,0.7628229780110747,0.9143901176414777,1.1206561296794755,0.3165327028818709,understands,0.9485735665947017,47,41,16,88,0.5340909090909091
English (American),bee,nouns,-0.6300405468271292,-0.21343832059429171,0.04055433248565311,0.0038199749306506306,-1.2716936105907035,0.7423469565399757,-2.131149398093179,2.0009284733076207,-1.0875900245064514,understands,1.2647647554596024,40,38,17,78,0.5128205128205128
English (American),belly button,nouns,-2.174027192146028,-1.8507143454253099,-0.14556898479866218,-0.14406332178850964,2.961699613559243,0.8652030853665663,-0.2506204802449719,1.179340952588018,-0.5314115416254962,understands,0.9485735665947017,60,28,16,88,0.6818181818181818
English (American),bib,nouns,-1.1345645752631375,-0.6407265894151443,-0.2791939627746415,-0.6017348749807755,-0.5661280732323791,0.6502048599200329,-0.2047539212730646,-0.4403601596877696,2.8991155764711065,understands,0.9485735665947017,46,42,16,88,0.5227272727272727
English (American),bicycle,nouns,-0.9778812400211737,0.5042440051794725,0.1725275529755768,-0.11950351501652384,1.5505685388425947,0.7525849672755247,0.6483640756044142,0.005644494417157768,-0.3034695401981513,understands,1.2647647554596024,52,26,17,78,0.6666666666666666
English (American),bird,nouns,0.32374741579003874,0.03378028246330014,0.5317945920612619,0.6187874666774812,-0.5661280732323791,0.8652030853665663,0.6850573227819403,-0.13519908056334562,-0.7992433929892063,understands,0,434,336,13,770,0.5636363636363636
English (American),bite,predicates,0.14876048733564196,-0.745490660991619,0.245719622103411,-0.01909004773745472,-0.5661280732323791,0.29187448417581063,-2.2779223868032834,1.3553954213136468,-0.1772247399090942,understands,0,403,367,13,770,0.5233766233766234
English (American),blanket,nouns,-0.3978253300832773,0.5672743042253836,0.2446488026835544,0.19879873968221418,2.2561340762009188,0.8652030853665663,0.960256676613385,-2.013113413636723,2.481221907772692,understands,0,385,385,13,770,0.5
English (American),block,nouns,0.2928510927798184,-0.20544290413293695,0.9117109443713315,0.6509941050278292,0.13943746412594538,0.3328265271180076,-1.397284454542659,0.3577534318684157,0.2531888206808398,understands,0.6323823777298012,68,53,15,121,0.5619834710743802
English (American),blow,predicates,-0.0655629347931973,-0.3538747194010512,-1.1479099077463082,0.6261616260108801,-0.5661280732323791,-0.4247862673126347,0.08879205614714272,0.6277036172477141,-0.7365593426593705,understands,0.6323823777298012,63,58,15,121,0.5206611570247934
